dot_number,company_fit_score,expert_label,true_label,pred_label
3325187,0.7,BAD,0,1
3326371,0.7,BAD,0,1
3332652,0.7,BAD,0,1
3333987,0.7,GREAT,1,1
3348269,0.7,BAD,0,1
3354254,0.7,GREAT,1,1
3355456,0.7,BAD,0,1
3359214,0.7,BAD,0,1
3362271,0.7,BAD,0,1
3362281,0.7,BAD,0,1
3407529,0.7,GREAT,1,1
3409350,0.7,GOOD,1,1
3423320,0.7,GOOD,1,1
3430209,0.7,GOOD,1,1
3435289,0.7,GOOD,1,1
3449384,0.7,BAD,0,1
3459166,0.7,BAD,0,1
3462936,0.7,GOOD,1,1
3469330,0.7,GOOD,1,1
3473767,0.7,BAD,0,1
3475927,0.7,BAD,0,1
3476740,0.7,BAD,0,1
3479590,0.7,GOOD,1,1
3489741,0.7,GOOD,1,1
3492952,0.7,BAD,0,1
3493401,0.7,GOOD,1,1
3496502,0.7,GOOD,1,1
3501936,0.7,BAD,0,1
3502698,0.7,GOOD,1,1
3503189,0.7,GOOD,1,1
3505689,0.7,GOOD,1,1
3509976,0.7,BAD,0,1
3516778,0.7,BAD,0,1
3520610,0.7,BAD,0,1
3534822,0.7,OK,0,1
3537836,0.7,GOOD,1,1
3540467,0.7,BAD,0,1
3541519,0.7,BAD,0,1
3546294,0.7,BAD,0,1
3547622,0.7,BAD,0,1
3556121,0.7,GOOD,1,1
3563167,0.7,BAD,0,1
3575974,0.7,GOOD,1,1
3598096,0.7,BAD,0,1
3599315,0.7,BAD,0,1
3604156,0.7,GOOD,1,1
3604547,0.7,BAD,0,1
3611650,0.7,GOOD,1,1
3612893,0.7,BAD,0,1
3618917,0.7,GOOD,1,1
3655309,0.7,BAD,0,1
3664999,0.7,BAD,0,1
3667007,0.7,BAD,0,1
3673378,0.7,BAD,0,1
3679944,0.7,BAD,0,1
3693227,0.7,BAD,0,1
3723101,0.7,BAD,0,1
3738428,0.7,GOOD,1,1
3753866,0.7,BAD,0,1
3772104,0.7,BAD,0,1
3777856,0.7,GREAT,1,1
3788193,0.7,BAD,0,1
3848130,0.7,BAD,0,1
3856610,0.7,GOOD,1,1
3859498,0.7,GREAT,1,1
3868764,0.7,GOOD,1,1
3900052,0.7,BAD,0,1
3901056,0.7,BAD,0,1
3902794,0.7,BAD,0,1
3904449,0.7,GOOD,1,1
3905259,0.7,BAD,0,1
3908643,0.7,BAD,0,1
3909814,0.7,BAD,0,1
3913161,0.7,GOOD,1,1
3913855,0.7,BAD,0,1
3919604,0.7,BAD,0,1
3948191,0.7,BAD,0,1
3954044,0.7,BAD,0,1
3957871,0.7,BAD,0,1
3959842,0.7,BAD,0,1
3962024,0.7,BAD,0,1
3988947,0.7,OK,0,1
4002842,0.7,GOOD,1,1
4004539,0.7,GOOD,1,1
4010115,0.7,GOOD,1,1
4024811,0.7,BAD,0,1
4025896,0.7,BAD,0,1
4026700,0.7,BAD,0,1
4037373,0.7,BAD,0,1
4040901,0.7,BAD,0,1
4045911,0.7,GOOD,1,1
4048937,0.7,BAD,0,1
4054827,0.7,GOOD,1,1
4054912,0.7,GREAT,1,1
4058962,0.7,GOOD,1,1
4061463,0.7,BAD,0,1
4072127,0.7,BAD,0,1
4109723,0.7,BAD,0,1
4126304,0.7,BAD,0,1
4126321,0.7,BAD,0,1
4126703,0.7,BAD,0,1
4136077,0.7,BAD,0,1
4145383,0.7,GOOD,1,1
4147793,0.7,BAD,0,1
4148415,0.7,BAD,0,1
4151484,0.7,GOOD,1,1
4155383,0.7,BAD,0,1
4158341,0.7,GOOD,1,1
4159926,0.7,BAD,0,1
4164551,0.7,BAD,0,1
4167148,0.7,BAD,0,1
4176029,0.7,BAD,0,1
4177422,0.7,BAD,0,1
4182546,0.7,GOOD,1,1
4183387,0.7,BAD,0,1
4184140,0.7,GREAT,1,1
4185689,0.7,BAD,0,1
4191107,0.7,BAD,0,1
4200801,0.7,GOOD,1,1
4201138,0.7,GOOD,1,1
4204688,0.7,BAD,0,1
4207324,0.7,GOOD,1,1
4208810,0.7,BAD,0,1
4216182,0.7,BAD,0,1
4222860,0.7,BAD,0,1
4225091,0.7,BAD,0,1
4225737,0.7,BAD,0,1
4230401,0.7,BAD,0,1
4233448,0.7,BAD,0,1
4238408,0.7,BAD,0,1
4251388,0.7,BAD,0,1
4255302,0.7,GOOD,1,1
4258561,0.7,BAD,0,1
4261092,0.7,GOOD,1,1
4265187,0.7,BAD,0,1
4265650,0.7,BAD,0,1
4271490,0.7,BAD,0,1
4281742,0.7,OK,0,1
4300830,0.7,BAD,0,1
4302373,0.7,GOOD,1,1
4310951,0.7,GOOD,1,1
4320750,0.7,BAD,0,1
4327522,0.7,BAD,0,1
4328741,0.7,GOOD,1,1
4332124,0.7,BAD,0,1
4350741,0.7,BAD,0,1
4355044,0.7,BAD,0,1
4373214,0.7,BAD,0,1
4374192,0.7,BAD,0,1
4375711,0.7,BAD,0,1
4375909,0.7,BAD,0,1
4380363,0.7,GOOD,1,1
4386583,0.7,GOOD,1,1
4389773,0.7,BAD,0,1
4399519,0.7,GOOD,1,1
4404565,0.7,GOOD,1,1
4406981,0.7,BAD,0,1
4424541,0.7,BAD,0,1
4424955,0.7,GOOD,1,1
4429249,0.7,BAD,0,1
4431106,0.7,BAD,0,1
4438670,0.7,GOOD,1,1
4441305,0.7,OK,0,1
4449382,0.7,GOOD,1,1
4453417,0.7,BAD,0,1
4460092,0.7,BAD,0,1
4467956,0.7,BAD,0,1
